timestamp,user_id,action,file_id,ip_address,location,device,file_size_mb,is_anomaly
2026-01-01T00:00:00,user_9,upload,file_32,81.207.247.255,RU,Firefox/Linux,69.86,0
2026-01-01T00:05:00,user_14,bulk_download,file_5,45.108.217.58,CN,Chrome/Windows,46.94,1
2026-01-01T00:10:00,user_7,bulk_download,file_92,61.226.37.97,CN,Edge/Windows,110.3,1
2026-01-01T00:15:00,user_14,upload,file_44,24.106.23.13,US,Safari/Mac,77.82,0
2026-01-01T00:20:00,user_3,share,file_49,76.46.130.110,IN,Chrome/Windows,179.55,0
2026-01-01T00:25:00,user_15,share,file_69,105.226.104.242,IN,Chrome/Windows,486.56,0
2026-01-01T00:30:00,user_20,bulk_download,file_47,16.160.84.155,BR,Firefox/Linux,352.32,0
2026-01-01T00:35:00,user_3,bulk_download,file_30,174.176.196.58,RU,Chrome/Windows,190.13,1
2026-01-01T00:40:00,user_12,share,file_46,217.209.30.149,US,Firefox/Linux,335.12,0
2026-01-01T00:45:00,user_3,permission_change,file_78,102.68.78.197,RU,Firefox/Linux,267.12,0
2026-01-01T00:50:00,user_9,login,file_82,63.36.128.174,RU,Firefox/Linux,342.34,1
2026-01-01T00:55:00,user_2,upload,file_41,155.123.149.167,US,Edge/Windows,133.94,0
2026-01-01T01:00:00,user_16,login,file_51,49.45.33.198,BR,Edge/Windows,71.52,1
2026-01-01T01:05:00,user_19,login,file_55,89.61.53.197,CN,Edge/Windows,181.06,1
2026-01-01T01:10:00,user_16,download,file_12,89.194.144.240,FR,Chrome/Windows,430.57,0
2026-01-01T01:15:00,user_14,bulk_download,file_77,26.194.107.194,CN,Chrome/Windows,192.45,1
2026-01-01T01:20:00,user_9,login,file_71,121.60.175.59,FR,Chrome/Windows,340.17,0
2026-01-01T01:25:00,user_11,login,file_15,118.245.162.131,CN,Safari/Mac,217.44,1
2026-01-01T01:30:00,user_9,permission_change,file_65,212.124.147.182,RU,Firefox/Linux,253.89,0
2026-01-01T01:35:00,user_17,login,file_78,66.193.56.154,CN,Firefox/Linux,76.5,1
2026-01-01T01:40:00,user_1,bulk_download,file_77,154.151.82.106,FR,Safari/Mac,244.35,0
2026-01-01T01:45:00,user_8,login,file_8,168.25.158.15,RU,Firefox/Linux,439.02,1
2026-01-01T01:50:00,user_16,upload,file_9,175.104.2.16,RU,Firefox/Linux,64.28,0
2026-01-01T01:55:00,user_9,bulk_download,file_68,182.195.76.153,US,Edge/Windows,482.19,0
2026-01-01T02:00:00,user_7,permission_change,file_92,168.139.76.223,RU,Safari/Mac,199.56,0
2026-01-01T02:05:00,user_17,share,file_58,183.42.206.255,CN,Chrome/Windows,124.03,0
2026-01-01T02:10:00,user_18,bulk_download,file_30,62.44.186.63,CN,Firefox/Linux,3.69,1
2026-01-01T02:15:00,user_3,upload,file_5,54.173.78.81,US,Safari/Mac,35.52,0
2026-01-01T02:20:00,user_18,login,file_17,143.149.57.212,BR,Edge/Windows,121.57,1
2026-01-01T02:25:00,user_4,login,file_13,52.239.243.252,US,Edge/Windows,177.21,0
2026-01-01T02:30:00,user_4,permission_change,file_8,139.237.69.120,IN,Edge/Windows,364.13,0
2026-01-01T02:35:00,user_7,upload,file_25,146.17.219.131,US,Edge/Windows,70.18,0
2026-01-01T02:40:00,user_3,login,file_57,175.135.102.203,BR,Chrome/Windows,25.39,1
2026-01-01T02:45:00,user_8,upload,file_22,18.98.243.195,IN,Edge/Windows,242.87,0
2026-01-01T02:50:00,user_6,login,file_49,54.229.166.172,BR,Chrome/Windows,492.66,1
2026-01-01T02:55:00,user_14,login,file_90,166.234.140.37,BR,Edge/Windows,77.48,0
2026-01-01T03:00:00,user_18,upload,file_8,164.186.250.123,FR,Safari/Mac,28.68,0
2026-01-01T03:05:00,user_6,bulk_download,file_8,106.84.184.213,FR,Chrome/Windows,425.69,0
2026-01-01T03:10:00,user_8,bulk_download,file_52,1.129.78.49,CN,Chrome/Windows,470.8,1
2026-01-01T03:15:00,user_2,bulk_download,file_80,94.111.17.78,FR,Chrome/Windows,209.67,0
2026-01-01T03:20:00,user_9,bulk_download,file_27,80.152.29.216,BR,Safari/Mac,119.42,0
2026-01-01T03:25:00,user_10,permission_change,file_59,51.40.5.80,RU,Safari/Mac,464.52,0
2026-01-01T03:30:00,user_20,upload,file_73,103.46.196.79,CN,Chrome/Windows,36.72,0
2026-01-01T03:35:00,user_12,login,file_9,65.163.98.203,BR,Firefox/Linux,184.83,1
2026-01-01T03:40:00,user_17,login,file_2,149.192.159.130,CN,Safari/Mac,465.88,1
2026-01-01T03:45:00,user_4,bulk_download,file_14,21.190.85.102,RU,Firefox/Linux,136.25,1
2026-01-01T03:50:00,user_7,permission_change,file_88,199.65.46.209,BR,Safari/Mac,252.75,0
2026-01-01T03:55:00,user_14,upload,file_36,169.230.93.116,IN,Chrome/Windows,1.87,0
2026-01-01T04:00:00,user_6,permission_change,file_95,36.169.125.138,BR,Edge/Windows,275.89,0
2026-01-01T04:05:00,user_3,upload,file_89,33.73.229.210,IN,Firefox/Linux,272.84,0
2026-01-01T04:10:00,user_5,bulk_download,file_56,192.79.71.71,FR,Firefox/Linux,21.01,0
2026-01-01T04:15:00,user_7,upload,file_88,153.113.166.201,BR,Firefox/Linux,333.5,0
2026-01-01T04:20:00,user_20,bulk_download,file_96,154.205.145.122,CN,Firefox/Linux,462.89,0
2026-01-01T04:25:00,user_14,bulk_download,file_4,161.125.96.35,BR,Firefox/Linux,368.31,1
2026-01-01T04:30:00,user_8,login,file_35,133.176.223.73,RU,Firefox/Linux,393.71,0
2026-01-01T04:35:00,user_8,bulk_download,file_26,35.128.160.200,RU,Edge/Windows,174.89,1
2026-01-01T04:40:00,user_1,download,file_85,81.234.163.81,US,Firefox/Linux,199.29,0
